GUID,Material Name,Categories,Descriptive Properties - Physical Properties,Descriptive Properties - Density,Descriptive Properties - Chemical Properties,Descriptive Properties - Mechanical Properties,Descriptive Properties - Modulus of Elasticity,Descriptive Properties - Poissons Ratio,Descriptive Properties - Shear Modulus,Descriptive Properties - Electrical Properties,Descriptive Properties - Volume Resistivity,Descriptive Properties - Dielectric Constant,Descriptive Properties - Dielectric Loss Index,Descriptive Properties - Thermal Properties,"Descriptive Properties - CTE, linear",Descriptive Properties - Thermal Conductivity,"Descriptive Properties - Transformation Temperature, Tg",Descriptive Properties - Softening Point,Descriptive Properties - Working Point,Descriptive Properties - Annealing Point,Descriptive Properties - Optical Properties,Descriptive Properties - Refractive Index,Descriptive Properties - UV Transmittance,Descriptive Properties - Hydrolytic Resistance,Descriptive Properties - Stress-optical Coefficient K (10-6mm2N-1),Descriptive Properties - tk100(°C),"Descriptive Properties - Maximum Service Temperature, Air",Descriptive Properties - CaO+MgO,Descriptive Properties - SiO2,Descriptive Properties - Classification Temperature (°C)
a6b27b52f0c54fdea18ed828b657e8c3,Concrete,Ceramic;Concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99b4eca68677478bb02d1f79c9d81643,CeramTec MZ BE Zirconia 3Y-TZP,Ceramic;Oxide;Zirconium Oxide,Metric,,Metric,,Metric,0.25 %,,,,,6.04g/cc,,,,,0.40µm,,,,,,,,,,English,,
cabb99e3a5bb476dadb9bd92431562f4,AISI 4620H Steel,Metal;Ferrous Metal;Alloy Steel;AISI 4000 Series Steel;Low Alloy Steel;Carbon Steel;Low Carbon Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ab0fb16f01dc47fbb8ef4fbd2db5cd76,Ceradyne Ceralloy® 1370DP Aluminum Nitride,Ceramic;Nitride,Metric,10µm,Metric,,,,,,,,3.30g/cc,,,,,,,,,,320GPa,Metric,1.00e+15ohm-cm,8.7,8.7,English,,
f2c0e06170764be180c2191b8fc53add,Orion Engineered Carbons ECORAX® 1990 Carbon Black,Carbon;Carbon Black,Metric,,,,,,,,,0.370g/cc,,,94 %,,,,130m²/g,,,,,,,,,,,
b3bf931b91c0460d8386ef58d05ee503,Aremco Pyro-Putty™ 950 High Temperature Ceramic-Metallic Putty,Ceramic;High Temp Ceramic Resin,Metric,1.09g/cc,4.44-32.2°C,Metric,60.0min@Temperature 204 °C,6.00Month,Silver Gray,,,,,,,,KaMin Nulok® 390 Kaolin Clay - Surface Treated,"High brightness, ultra-fine kaolin extender for white or bright colored rubber or plastic, spray dried bead form.Industry:Rubber & PlasticUses:Non-Black Rubber, Tire, General Rubber Goods, Butyl Rubber, Thermoset, Thermoplastic, EPDM, Wire & CableInformation provided by KaMin LLC.",English,2.60g/cc,,,,,,,,<= 1 %,325Mesh,22m²/g
dd15a8862ca24d2b950974b717cc28bb,Soil,Ceramic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2a9d237afda14cdd9a8ef259cdaa0780,Iron (III) Nitrate Nonahydrate,Ceramic,Metric,1.68g/cc,403.997g/mol,"Very Soluble in H2O, EtOH and Acetone",,,,,,,,,,,,,,,,,,,,,,,,
3bac003d0ba447e3b67b13fd48d54efd,Europium,Metal;Nonferrous Metal;Pure Element,Metric,5.26g/cc,,,English,151.964,63,0.25552Å,0.950Å,English,17,,,0.152,,English,0.0000910ohm-cm,0.000218,,19.4-°F@Temperature,,,1500-,,Metric,7440-53-1,,
030cb636916a46d085cd0862c1b65323,H.C. Starck Grade HD 20 Boron Carbide,Ceramic;Carbide,Metric,,,,,,,,,,,,,,,,,,,,,,,,,,22-25m²/g,
ca42e743235f4eff88fb1591188dd65c,Chosun Refractories A64 Special High-Density Gunning Castable,Ceramic;Oxide;Aluminum Oxide,Metric,,,,,,,,,English,,,,,,,,,,,,,,,Metric,,,"2.36g/cc@Temperature 1500 °C,Time 10800 sec"
a224e0779e2e4599807c2ec07fc865c7,CIMBAR RP 9410 Talc,Ceramic;Oxide;Other Engineering Material;Additive/Filler for Polymer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bf1e6027d551416ba92db703006a6b38,Pyrotek AL-THERM 2100H Vacuum formed refractories for use with modular hot top systems,Ceramic;Oxide;Aluminum Oxide;Silicon Oxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ac55bd4c28a74a498eb29d425f4409a3,Nabaltec GRANALOX® NM 9622 Ceramic Bodies,Ceramic;Oxide;Aluminum Oxide,Metric,3.77-3.82g/cc,,,,,,,,,,,,,,,,,,,,,,,Metric,,,1.25-1.35g/cc
055aa5268005431cbe4745cb6010a97e,Malvern Minerals Novakup® 1250 Surface-Treated Lamellar Quartz Filler/Extender,Ceramic;Oxide;Silicon Oxide;Other Engineering Material;Additive/Filler for Polymer,Metric,,,,,,,,,English,,,,,,,,,,,,,,,Metric,,,0.8486g/cc
d1a09b505eae4641bdbdf9919f9b2f84,Goodfellow Alumino-silicate Glass Ceramic,Ceramic;Glass;Glass Ceramic;Oxide;Silicon Oxide,Metric,2.65g/cc,,,,,,,,,,,,,,,,,,2.78-°F@Temperature 68.0 -,,,,,Metric,,,
4514b12e2b2a4e36ace17316a7bb04da,Morgan Advanced Ceramics Nilcra® Zirconia 8Y Technical Ceramic,Ceramic;Oxide;Zirconium Oxide,Metric,6.05g/cc@Temperature 20.0 °C,,,,,,,,English,,,,,,,,,,,,,,,,,,
6f165c8ab6474c84a5196fafc7be7b41,AISI 1021 Steel,Metal;Ferrous Metal;Carbon Steel;AISI 1000 Series Steel;Low Carbon Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68a7e7cf1f944012872303e6f839c3b4,Vibrantz Technologies IP 780 Passivation Glasses (Pb-B-Si-Al; Pb-Si-Al; Si-Pb-Al Silicates),Ceramic;Glass;Oxide;Silicon Oxide,Metric,3.81g/cc,,,English,,,,,,,,,,,,,,,2.42-°F@Temperature 77.0 -,,,,,,,,
210a511ecbc34718a9acfd227a07eda1,Morgan Advanced Ceramics Hicast Super R Thermal Ceramic,Ceramic;Oxide,Metric,2.224-2.368g/cc@Temperature 816 °C,,,,,,,,English,,,,,,,,,,,,,,,Metric,,,
a934fda5b3444a448f3655ec940ac660,Thermal Ceramics Kaogun 28 Dense Gunning Castables,Ceramic;Oxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ac7469f097ca40e58cb0056d4433f1b8,Reade Advanced Materials Sillimanite Powder & Crystal (Al 2 SiO 5 ),Ceramic;Oxide;Aluminum Oxide;Silicon Oxide,Metric,3.241g/cc,162.04g/mol,,,,,,,English,,,,,,,,,,,,,,,,,,
d0a17549d8874a7cb18d91a3b8ec1fd7,AISI 4815 Steel,Metal;Ferrous Metal;Alloy Steel;AISI 4000 Series Steel;Low Alloy Steel;Carbon Steel;Low Carbon Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bcb09bfb631a47b1b06886e9bc93df98,Ohara L-TIM28P Low Softening Temperature Optical Glass,Ceramic;Glass;Optical,Metric,,,,English,,,,,English,,,,0.254,,,,,,5.61-°F@Temperature -22.0 -,,,,,,,,
efbaee1662194ed78fbd2a19bd15a,Thermal Ceramics FireMaster Firecrete 85,Ceramic;Ceramic Matrix Composite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1c2d0b470de405b8594301a8a9f8df9,Imerys TIMREX® BNB90 Expanded Graphite,Carbon;Graphite;Other Engineering Material;Additive/Filler for Polymer,Metric,,,,,,,,,,,,,,,,,,,,,,,,,,28.4m²/g,0.0300g/cc
91d6d1306cdc45fcbdc2a754fdd03f35,Schott Glass 8532 Soft Glass,Ceramic;Glass,Metric,4.46g/cc@Temperature 25.0 °C,,,English,,,,,English,,,,0.24,,English,,,,4.83-°F@Temperature 68.0 -,,,,,,,,
cd0bdaf9dfb44ef691f5dcab969423d9,KaMin KaMin® 35 Kaolin Clay - Waterwashed,Ceramic;Clay;Kaolin Clay,Metric,,,,,,,,,,,,,,,,,,,,,,,,,1332-58-7,9.4m²/g,0.449-0.497g/cc
6ffcd136aa37401bbdd1be1ce22304de,Schott N-LAF35 Glass,Ceramic;Glass,Metric,4.12g/cc,,,English,,,,,English,,,,0.301,,,,,,2.94-°F@Temperature -22.0 -,,,,,,,,
0a7d03587fe145b9b54b94f5837d066b,Aremco 502-1400-96 Machinable Aluminum Oxide 96%,Ceramic;Machinable Ceramic;Oxide;Aluminum Oxide,Metric,3.71g/cc,,,,,,,,English,,,,,,English,,,,3.50-°F,,,,,,,,
9552300b4d20444bb09149ec8652b016,Chosun Refractories CAR-2 Carbon Brick,Carbon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6c2af3136abc41248d3eef28c32c258c,H.C. Starck Grade HD 07 Boron Carbide,Ceramic;Carbide,Metric,,,,,,,,,,,,,,,,,,,,,,,,,,6.0-9.0m²/g,
153baea86ecc409297078980c301d762,CIMBAR UltraMag & UltraMag ST 10 Magnesium Hydroxide Powder,Other Engineering Material;Additive/Filler for Polymer,Metric,,,,,,,,,English,,,,,,,,,,,,,,,Metric,,,
7261616a8d2344688412c30fe2ce3bf7,Momentive Performance Materials PolarTherm® PT620 Boron Nitride (BN) Powder,Ceramic;Nitride;Other Engineering Material;Additive/Filler for Polymer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9944ec9a6ca64af0b2241d9d93e973a8,Mateck Zinc Sulphide,Ceramic;Sulfide/Chalcogenide;Other Engineering Material;Semiconductor,Metric,,,,,,,,,,,,,,,English,1.00e+8-1.00e+12ohm-cm,,,,,,,,,,,
950d354d35044658b021af1d9bd0e39d,MarkeTech Calcium Fluoride:Europium (CaF 2 :Eu) Scintillator Crystal,Ceramic;Halide,Metric,3.18g/cc,,,,,,,,English,,,,,,,,,,10.8-°F,,,,,,,,
fd89788d38e14827a5b1943eeb129533,Materion Ta2O5 Tantalum Oxide for Optical Coating,Ceramic;Oxide,Metric,8.20g/cc,441.89g/mol,,,,,,,,,,,,,,,,,,,,,,,,,
cac1c8388642464cad05fc1035ed1d,AISI 4140H Steel,Metal;Ferrous Metal;Alloy Steel;AISI 4000 Series Steel;Low Alloy Steel;Carbon Steel;Medium Carbon Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6370f3a1486b48fab10d32dba3c2b247,CoorsTek Ceramic Cr:YAG Yttrium Aluminum Garnet,Ceramic,Metric,4.56g/cc,,,,,,,,,,,,,,,,,,,,,,,,,,
b7961086733e424f91fa9803c16931c5,Chosun Refractories MS-2 Blast Furnace Tap-Hole Refractory,Ceramic,Metric,,,,,,,,,English,,,,,,,,,,,,,,,Metric,,,1.78g/cc
4c057bd1e62c444e9630bb17841493ad,Morgan Advanced Ceramics Hicast 90TR Thermal Ceramic,Ceramic;Oxide,Metric,2.772-2.963g/cc@Temperature 816 °C,,,,,,,,English,,,,,,,,,,,,,,,Metric,,,
b541f01d7686407ebcd56c5ab1cac596,NanoAmor 95%,Carbon,Metric,,,,,,,,,,,,,,,,,,,,,,,,,,60m²/g,
73186693e7ee4ad9abbcd081c95e0504,Chosun Refractories AM10S Alumina Magnesia Carbon Bricks for Ladle Wall And Bottom,Ceramic;Oxide;Aluminum Oxide;Magnesium Oxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7921010ea331448e82b0194df9dbdf75,AISI 1080 Steel,Metal;Ferrous Metal;Carbon Steel;AISI 1000 Series Steel;High Carbon Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ed475bae8e814bf6802b004982b6916d,Chosun Refractories SB75 Bricks,Ceramic;Carbide,Metric,,,,,,,,,English,,,,,,,,,,2.56-°F@Temperature,,,,,Metric,,,2.65g/cc
2b8952446b6f4d74a0d4a6bd1c150a60,AISI 1074 Steel,Metal;Ferrous Metal;Carbon Steel;AISI 1000 Series Steel;High Carbon Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7e5ef1c15679430f809826ec6b28dbaa,Schott NG4 Neutral Density Filter,Ceramic;Glass;Optical;Filter,,,,,,,,,,,,,,,,,,,,,,,,,,,,
537d21b1057940c1887da1208411eaa8,Strontium Yttrium Sulfide,Ceramic;Sulfide/Chalcogenide,,,,,,,,,,,,,,,,English,,,,,,,3283-,,,,,
f102c3813b2e4fe98714945d497ae2cb,Carpenter Advanced Ceramics MS Grade Zirconia,Ceramic;Oxide;Zirconium Oxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a4a0a5fb067d40d6b5c373d92e281286,Livermorium,Metal;Pure Element,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3d1aacccd2114cf8950a9772d4f65a9b,Mo-Sci Corporation GA-80-N Green Filter Glass,Ceramic;Glass;Optical;Filter,Metric,3.10g/cc,,,,,,,,,,,,,,,,,,6.67-°F,,,,,,,,
154e200146ec4487a6478f37373d6621,CIMBAR CIMTUFF® 9107 Talc,Ceramic;Oxide;Silicon Oxide;Other Engineering Material;Additive/Filler for Polymer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77bd724c6c3d4c6a87467738beb88e65,Saint-Gobain Chemfab®  PTFE Coated Beta Fiberglass Conveyor Belting,Ceramic;Glass;Glass Fiber,Metric,1.268g/cc,,,,,,,,English,,,,,,,,,,,,,,,,,,
8f2bfc9079564dbe8f5ab86cb136ee38,Mateck Nb:SrTiO 3,Ceramic;Oxide,Metric,,,,,,,,,,,,,,,English,,,,6.17-°F,,,,,,,,
2f745ddc936a4315809b0045424c66f1,Schott GM39923 Dental Glass,Ceramic;Glass;Oxide;Silicon Oxide,Metric,2.80g/cc,,,,,,,,,,,,,,,,,,2.78-°F@Temperature -22.0 -,,,,,Metric,,,
92ba0ea4edd64194ab6574051c7e1524,Nabaltec APYRAL® 40 CDO Al(OH) 3  Aluminum Hydroxide,Ceramic;Oxide;Aluminum Oxide;Other Engineering Material;Additive/Filler for Polymer,Metric,,,,,,,,,,,,,,,English,10000ohm-cm,,,,,,,,Metric,,4.00m²/g,0.480g/cc
f1083cd66af442039799785d4c65a1ca,Sylvania SA901C Molybdenum Thermal Spray Powder,Metal;Nonferrous Metal;Molybdenum Alloy;Other Engineering Material;Ceramic/Metallic Coating,Metric,2.40-3.00g/cc,100Mesh,0.80 %,4.0 %,1.0 %,75 %,17.2 %,1.0 %,20-30,,,,,,,,,,,,,,,,,,
fa172cc1e70d412a9d112924679cda8c,Imerys M1250 WOLLASTOCOAT® Wollastonite,Ceramic;Oxide;Silicon Oxide;Other Engineering Material;Additive/Filler for Polymer,Metric,0.720g/cc,,,,,,,,,2.90g/cc,89 %,25 %,0.0095 %,0.120 %,>=1.0µm,3.0m²/g,116g/mol,Metric,4.5,2700-4100MPa@Diameter 0.00300 - 0.150 mm,303-530GPa@Diameter 0.00300 - 0.150 mm,Metric,1.30e+13ohm-cm,1.30e+13ohm-cm,0.00152@Frequency 1000 Hz,3.61-°F,18.3-
aa02efe523c44f5dbf0333820ebacf48,Ammonium Stearate,Ceramic,Metric,,,,,,,,,,0.890g/cc,,,,,,,301.514g/mol,,,,,,,,,,
b6092bb878da413495dfa35462960b96,Selenium,Pure Element,Metric,,,,,,,,,,4.28g/cc,,,,,,,,,,,,,,,,,
c2decafd41b94684bf6f9114ff3cb661,AISI 4130 Steel,Metal;Ferrous Metal;Alloy Steel;AISI 4000 Series Steel;Low Alloy Steel;Carbon Steel;Medium Carbon Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616a8305555c43638fe6b537e9201c15,Morgan Advanced Ceramics Firelite 14 Thermal Ceramic,Ceramic;Oxide,Metric,1.20g/cc,,,,,,,,,,,,,,,,,Metric,,,,,,,,,
0ee0e0918efb4889bda8052c74e00d86,AISI 1080 Steel,Metal;Ferrous Metal;Carbon Steel;AISI 1000 Series Steel;High Carbon Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4f1ce0ca69334df0ae584ff7d2f2dfe7,BNZ Materials Transite HT Low Temperature Industrial Board,Ceramic;Oxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bde2afbbccce490a81bc412f17c99cc4,CoorsTek Technox® 3000 HIPped Y 2 O 3  Yttria Tetragonal Zirconia Polycrystal,Ceramic;Oxide;Zirconium Oxide,Metric,,,,,,,,,,6.07g/cc,,,,,,,,Metric,,,210GPa,Metric,,,,5.72-°F@Temperature 77.0 -,
2656608cb6fe4b3b84446a5144f8ff,Corning Gorilla® Glass 3 Touch Screen Glass with NDR,Ceramic;Glass;Optical,Metric,,,,,,,,,,2.39g/cc,,,,,,,,Metric,,,69.3GPa,Metric,,,0.021@Frequency 4.90e+8 Hz,4.21-°F@Temperature 32.0 -,
5dc45339ae424946a685fb0fc073b077,Aluminum Oleate,Ceramic,Metric,,,,,,,,,,,,,,,,,871.358g/mol,,,,,,,,,,
94ef9bc490674e0cafa2405676aec767,Cerium (III) Iodide Nonahydrate,Ceramic;Halide,Metric,,,,,,,,,,,,,,,,,682.966g/mol,,,,,,,,,,
6cdea298b9f045f48cd364caecf8596c,Morgan Advanced Ceramics Kaowool™Board 1600 Fiber,Ceramic;Oxide,Metric,,,,,,,,,,0.320g/cc,,,,,,,,Metric,,,,,,,,,
a76ac0c02bde432eaa3418bd44f9690c,H.C. Starck Grade C Titanium Nitride,Ceramic;Nitride,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37103a1003174c6a8db0c7d8629893ef,Morgan Advanced Ceramics K-120 Ceramic Core Material Silica,Ceramic;Oxide;Silicon Oxide,Metric,1.90g/cc,,,,>= 0.090 %,,,,,2.60g/cc,,,,,,,,Metric,,,,,,,,1.11-°F@Temperature 77.0 -,
f3b6e5e2aa7d4256a93db8b4b6a778e9,Schott GG420 Long Pass Filter,Ceramic;Glass;Optical;Filter,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9b8182703ad44be38bf1f4386dcc90d0,Chosun Refractories FAM-2 Flame-Gunning Repair Refractory,Ceramic;Oxide;Aluminum Oxide,Metric,2.92g/cc,,,,,,,,,,,,,,,,,Metric,,,,,,,,,
c9eb542a73d94a1598107c15f9a74a47,Aluminum Bromate Nonahdyrate,Ceramic,Metric,,,,,,,,,,,,,,,,,572.826g/mol,,,,,,,,,,
c46c3ae2d36c420cb27a61a084fc74b9,Saint-Gobain Chemfab® 6 High-Performance PTFE-Coated Glass,Ceramic;Glass;Glass Fiber,Metric,,,,,,,,,,2.0949g/cc,,,,,,,,Metric,,,,,,,,,
fbf628200a0249cba199a50d7ad79fff,Thermal Ceramics TR-19 Block Insulation,Ceramic,Metric,,,,,,,,,,0.3685g/cc,,,,,,,,Metric,,,,,,,,,
a651f87d55b440de9bc8b4d91113edb0,Saint-Gobain Chemfab® 5 Tear Resistant PTFE-Coated Glass,Ceramic;Glass;Glass Fiber,Metric,,,,,,,,,,2.00g/cc,,,,,,,,Metric,,,,,,,,,
5b2f5a1692bc4c40b76aa71ba35b4065,CoorsTek SN102 Sinter-HIP Silicon Nitride,Ceramic;Carbide,Metric,,,,,,,,,,3.23g/cc,,,,,,,,Metric,,,290GPa,Metric,,,0.0017,1.94-°F@Temperature 77.0 -,
58c2e58fd1774f0ea79a81476cccc42a,Morgan Advanced Ceramics Cera-Kote® Cement,Ceramic;Oxide,,,,,,,,,,,,,,,,,,,Metric,,,,,,,,,
a6a95524ed1f44209e297217d2d33d5d,LKAB Minerals FireCarb TEG-315 Expandable Graphite,Carbon;Graphite;Other Engineering Material;Additive/Filler for Polymer,Metric,,>=80Mesh,95 %,,,,,,,,,,,,,,,,,,,,,,,,
d2b4520fa1ca42558df75b7a3137a7b7,Anderman Ceramics EZC96P Zirconia,Ceramic;Oxide;Zirconium Oxide,Metric,,,,,,,,,,4.30g/cc,,,,,,,,,,,,,,,,5.33-°F,
458dc24cbc104f36a68a9e33591863bd,Momentive Performance Materials HCT-S Titanium Diboride (TiB 2 ) Powder,Ceramic;Boride,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9d2b46889cc644ed975eb50f4f58381e,Imerys TIMREX® KS4 Primary Synthetic Graphite,Carbon;Graphite;Other Engineering Material;Additive/Filler for Polymer,Metric,0.0700g/cc,,,,,,,,,,,,,,2.4µm,,,,,,,,,,,,
903830077d1c478798af4378f446c2ce,Morgan Advanced Ceramics Custom PZT 703 Piezo Ceramic,Ceramic;Piezoelectric,Metric,,,,,,,,,,7.80g/cc,,,,,,,,Metric,,,,Metric,,,2.9,,
d5c0652b2fb24270b32237d9b44144b6,Chosun Refractories BTB-18S Casting Block,Ceramic;Oxide;Aluminum Oxide,Metric,3.20g/cc,,,,,,,,,,,,,,,,,Metric,,,,,,,,,
833ab8c73df7423f90e217b126a410a3,MarkeTech Neodymium Gallium Oxide (NdGaO3) Single Crystal Substrate,Ceramic;Oxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32b11d05ed954ad781e607de8dcfc6e7,Möller Medical NanoSkin Magic 112 NanoCoating,Ceramic;Glass;Glass Ceramic;Other Engineering Material;Ceramic/Metallic Coating,Metric,,,,,,,,,,,,,,,,,,Metric,,,,,,,,,
e8e84a71e65d4627a128ff2500bc0255,Nabaltec APYRAL® 44 Gibbsite Al(OH) 3,Ceramic;Oxide;Aluminum Oxide;Other Engineering Material;Additive/Filler for Polymer,Metric,0.500g/cc,,,,,,,,,2.40g/cc,96.0 %@Wavelength 457 nm,20.0 %,,0.200 %,1.40µm,2.30m²/g,,Metric,3.00,,,Metric,20000ohm-cm,20000ohm-cm,,,
8563a0b0bb6f40d09a6be558feb72eb8,Omya Omyasphere® 335 T-FQ Closed-Cell Expanded Perlite,Ceramic;Oxide,Metric,,,,,,,,,,,,,,,350µm,,,,,,,,,,,,
2b3e03fbe8bb418180091b3497b487ef,Zircar Zirconia Buster Mat Alumina Insulation,Ceramic;Machinable Ceramic;Oxide;Aluminum Oxide,Metric,0.0350g/cc,,,,,,,,,,,,,,,,,,,,,,,,,,
a137af8f64a84550985f3f3bf980b286,AISI Grade 18Ni (250) Maraging Steel,Metal;Ferrous Metal;Maraging Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b76a9e9baba483298eb32e60105c9f9,Ohara S-LAH96 Optical Glass,Ceramic;Glass;Optical,Metric,,,,,,,,,,,,,,,,,,Metric,,,118.7GPa,,,,,3.89-°F@Temperature -22.0 -,
f6b647c8a6404abba20f6b6dc8b7893a,AISI 1050 Steel,Metal;Ferrous Metal;Carbon Steel;AISI 1000 Series Steel;Medium Carbon Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81966cbf4ae049648938b2a8aa44f409,Sinotek Materials ZSLG99 High Carbon Graphite,Carbon;Graphite;Other Engineering Material;Ceramic/Metallic Coating,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d66ea3fafbb245ab8732444993ff2c7e,Nabaltec GRANALOX® NM 9922 B Ceramic Body,Ceramic;Oxide;Aluminum Oxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25e0ed8eec304acda7caeb60053afb62,AISI 4422 Steel,Metal;Ferrous Metal;Alloy Steel;AISI 4000 Series Steel;Low Alloy Steel;Carbon Steel;Low Carbon Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5612265e3ef14882a67d5a1333d964b5,CeramTec Sonox® P6 Piezoceramic,Ceramic;Oxide;Piezoelectric,Metric,,,,,,,,,,7.70g/cc,,,,,,,,,,,,Metric,,,0.0040,,
2fdd1857c3114c3195a6635a55e442cb,Morgan Advanced Ceramics Insulite 2500LI Thermal Ceramic,Ceramic;Oxide,Metric,1.25g/cc@Temperature 110 °C,,,,,,,,,,,,,,,,,Metric,,,,,,,,,
54a7ff08da9e4eb59cc6ce802dc017dd,Chosun Refractories LW-20 Special Insulating Firebrick,Ceramic,Metric,>=0.500g/cc,,,,,,,,,,,,,,,,,Metric,,,,,,,,,>=
0dbf53f43867476e8c336294e2f078ae,Morgan Advanced Ceramics High Performance Piezo PZT-5H Piezoelectric Material,Ceramic;Piezoelectric,Metric,,,,,,,,,,7.70g/cc,,,,,,,,,,,,Metric,,,,,
600f72565b6e4e6c9fe0b3159945f33a,AISI 4320H Steel,Metal;Ferrous Metal;Alloy Steel;AISI 4000 Series Steel;Low Alloy Steel;Carbon Steel;Low Carbon Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8cda0aecc13743aca8a30258e45b7600,AISI 1015 Steel,Metal;Ferrous Metal;Carbon Steel;AISI 1000 Series Steel;Low Carbon Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de6f25a72ae14a1d965452226fc59a69,Ceradyne Thermo-Sil® HS Fused Silica,Ceramic;Oxide;Silicon Oxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63dbf7fcefbd42b99a190cad7e109056,Niobium,Metal;Nonferrous Metal;Niobium Alloy;Refractory Metal;Pure Element,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a3b72a8535fd44f09206663f95e79549,Corning Gorilla® Glass 4 Touch Screen Glass,Ceramic;Glass;Optical,Metric,,,,,,,,,,2.42g/cc,,,,,,,,Metric,,,65.8GPa,Metric,,,0.023@Frequency 4.90e+8 Hz,4.83-°F@Temperature 32.0 -,
dabf5ecbf2784b419c2b11151443ca9d,H.C. Starck Grade B 50 Boron Nitride,Ceramic;Nitride,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fae5a2ddb8f548418a8a92746b655f91,Shale,Ceramic,,,,3d58ee26f98a4c5fa7b50ca0e85f1b90,Ceramic,Metric,75µm,Metric,"4.905MPa@Temperature 110 °C,Time 86400 sec","70=, 2=",38= dcac181ecab64b69828df2c58afe7a29,Ceramic;Oxide,,,,,,d6b49aa46a4148869363060c733fec,Metal;Ferrous Metal;Carbon Steel;AISI 1000 Series Steel;Low Carbon Steel,,,,,,,,,
c2a0dbbb0310472aae01f29f7c4f7beb,AISI 1095 Steel,Metal;Ferrous Metal;Carbon Steel;AISI 1000 Series Steel;High Carbon Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0c483c2c8e3b4f0f8dc272efb7c58ffa,Manganese,Metal;Nonferrous Metal;Pure Element,Metric,7.44g/cc,Metric,12.6barns/atom,1.896Å,-1.05V,1.55,0.460Å,0.684g/A/h,Metric,460,75,48,500,496MPa,241MPa,159GPa,92.6GPa,0.35,76.4GPa,Metric,0.00000688ohm-cm@Temperature -273 °C,0.0000115,Metric,English,,,
ae6a86c497fe48daabf491dac731d57b,PPT BP1000 NiZn Ferrite Powder,Ceramic;Oxide,Metric,,,,,,,,,,,,,,,,,,,,Metric,1e+8ohm-cm,,Metric,English,,,
a7a2beffa40b40d9b30d6cef0a0c6245,AISI E4340 H Steel,Metal;Ferrous Metal;Alloy Steel;AISI 4000 Series Steel;Low Alloy Steel;Carbon Steel;Medium Carbon Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8a35b282a8474bf8a552a7271249bba1,Chosun Refractories GUN-135L Light-Weight Gunning Castable,Ceramic,,,,,,,,,,Metric,,,,,,,,,,,,,,Metric,English,,,
d05199c8b4194689bb1bd1e2a6b73d8c,Momentive Performance Materials BNC1 Boron Nitride (BN) Refractory Composite,Ceramic;Nitride,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457a1fa56d5844bbbe178a294ec27a06,Terio Corporation TCZA-20~80 CeO2-Al2O3-ZrO2,Ceramic;Oxide;Zirconium Oxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bb1cf3680ba04395ae6d61957f34fad4,ERG Aerospace Duocel® Silicon Carbide Foam,Ceramic;Carbide,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533ddae7695452bbc78e6e533524be5,Aremco Corr-Paint™ CP3015-WH High Temperature Protective Coating Inorganic,Ceramic;Other Engineering Material;Ceramic/Metallic Coating,Metric,,,,,,,,,,,,,,,,,,,,,,,Metric,English,,,
